ID,Title,Severity,CWE,CVE(s),Bounty,Status,Disclosed,Submitted,Program,Reporter,Votes,URL
3707747,libcurl 8.20.0 incomplete fix for CVE-2026-7168: changing only CURLOPT_PROXYPORT leaks stale Proxy Digest auth to a different proxy,Medium,,CVE-2026-7168,,informative,2026-05-05,2026-05-01,curl,codexxxx,18,https://hackerone.com/reports/3707747
3712343,MQTT CONNACK Packet Type Bypass leads to RCE via Malicious Broker,Critical,ASI05: Unexpected Code Execution (RCE),,,informative,2026-05-05,2026-05-04,curl,orelbn7,27,https://hackerone.com/reports/3712343
3399016,Improper input validation On Exported deep-link handler crashes `FileDisplayActivity` on crafted external URL — Denial-of-Service,None,Improper Null Termination,,,resolved,2026-05-01,2025-10-24,Nextcloud,khoof,62,https://hackerone.com/reports/3399016
3320669,Double fdrop on a socket through sys_netcontrol,High,Double Free,,10000,resolved,2026-05-01,2025-08-30,PlayStation,slidybat,174,https://hackerone.com/reports/3320669
3702718,MQTT state machine confusion: PINGRESP/DISCONNECT with non-zero remaining_length dispatches to stale nextstate,Medium,Improper Input Validation,,,informative,2026-04-29,2026-04-29,curl,fxv_ray_st,35,https://hackerone.com/reports/3702718
3591956,Use-After-Free in SMB connection reuse (req->path dangling pointer after needle destruction),High,Use After Free,,,duplicate,2026-04-29,2026-03-08,curl,nadsec42,55,https://hackerone.com/reports/3591956
3646072,Negotiate connection reuse with wrong credentials when using CURLAUTH_ANY                                        ,Medium,Authentication Bypass by Primary Weakness,CVE-2026-1965,,duplicate,2026-04-29,2026-04-02,curl,anonymous_237,44,https://hackerone.com/reports/3646072
3666576,Negotiate Authentication Premature on Connection Reuse,High,Improper Authentication - Generic,,,duplicate,2026-04-29,2026-04-11,curl,sdainard,37,https://hackerone.com/reports/3666576
3697719,CVE-2026-7168: cross-proxy Digest auth state leak,Medium,Exposure of Data Element to Wrong Session,CVE-2026-7168,,resolved,2026-04-29,2026-04-27,curl,xkilua,34,https://hackerone.com/reports/3697719
3694390,CVE-2026-7009: OCSP stapling bypass with Apple SecTrust,Medium,Improper Certificate Validation,"CVE-2024-8096, CVE-2024-0853, CVE-2026-7009",,resolved,2026-04-29,2026-04-25,curl,3lcarry,32,https://hackerone.com/reports/3694390
3669637,CVE-2026-6253: proxy credentials leak over redirect-to proxy,Medium,,CVE-2026-6253,,resolved,2026-04-29,2026-04-13,curl,joesephdiver,23,https://hackerone.com/reports/3669637
3642555,CVE-2026-5545: wrong reuse of HTTP Negotiate connection,Medium,Authentication Bypass by Primary Weakness,CVE-2026-5545,,resolved,2026-04-29,2026-04-01,curl,quaccws,21,https://hackerone.com/reports/3642555
3671818,CVE-2026-6276: stale custom cookie host causes cookie leak,Low,Exposure of Data Element to Wrong Session,CVE-2026-6276,,resolved,2026-04-29,2026-04-14,curl,arkss,24,https://hackerone.com/reports/3671818
3677759,CVE-2026-6429: netrc credential leak with reused proxy connection,Medium,Information Exposure Through Sent Data,CVE-2026-6429,,resolved,2026-04-29,2026-04-16,curl,nobcoderr,19,https://hackerone.com/reports/3677759
3621851,CVE-2026-4873: connection reuse ignores TLS requirement,Low,Cleartext Transmission of Sensitive Information,CVE-2026-4873,,resolved,2026-04-29,2026-03-22,curl,bonaire,13,https://hackerone.com/reports/3621851
3650689,CVE-2026-5773: wrong reuse of SMB connection,Low,,CVE-2026-5773,,resolved,2026-04-29,2026-04-05,curl,osama-hamad,11,https://hackerone.com/reports/3650689
3682666,Use-after-free in `curl_easy_ssls_export()` during callback re-entrancy,High,Use After Free,,,not-applicable,2026-04-29,2026-04-18,curl,m1llie,8,https://hackerone.com/reports/3682666
3684614,Heap-buffer-overflow in `Curl_ssl_push_certinfo_len()` — sole bounds check is `DEBUGASSERT`,High,Out-of-bounds Read,,,not-applicable,2026-04-29,2026-04-20,curl,h3zh3z,7,https://hackerone.com/reports/3684614
3684603,Stack exhaustion in MIME multipart reading with deeply nested subparts,Medium,Uncontrolled Recursion,,,not-applicable,2026-04-29,2026-04-20,curl,wi110w,4,https://hackerone.com/reports/3684603
3452696,PS4 BD-J privilege escalation using nested JAR,Medium,Privilege Escalation,,2500,resolved,2026-04-29,2025-12-05,PlayStation,gezine,70,https://hackerone.com/reports/3452696
3340797,IBM Aspera HTTP Gateway stores sensitive information in clear text in easily obtainable files which can be read by an unauthenticated user.,High,Information Disclosure,,,resolved,2026-04-27,2025-09-16,IBM,jhon1231248e,44,https://hackerone.com/reports/3340797
3279441,"Bypass of Restricted Keyword ""Mozilla"" in Display Name Field via Unicode Homoglyphs on addons.allizom.org",Low,Improper Input Validation,,500,resolved,2026-04-27,2025-07-31,Mozilla,icecream_23,79,https://hackerone.com/reports/3279441
3100570,Bypassing Inbox Privacy Settings and Enabling Spam on Pixiv.net,Low,Improper Access Control - Generic,,200,resolved,2026-04-27,2025-04-19,pixiv,aaqibhussain,46,https://hackerone.com/reports/3100570
3183520,Non-premium user can disable Ads in japanese version of dic.pixiv.net,High,Business Logic Errors,,3000,resolved,2026-04-27,2025-06-09,pixiv,lainkusanagi,100,https://hackerone.com/reports/3183520
3518571,Argument Injection in /manage/ssh/ via host parameter leads to sensitive file disclosure on Weblate,None,,CVE-2026-24126,,resolved,2026-04-26,2026-01-20,Weblate,alexb_616,32,https://hackerone.com/reports/3518571
3679660,mruby-engine: UAF in MRubyEngine#initialize enables local RCE,None,,,,informative,2026-04-24,2026-04-17,Shopify,0xd0ff9,32,https://hackerone.com/reports/3679660
3556769,Incomplete fix for CVE-2026-21637: loadSNI() in _tls_wrap.js lacks try/catch leading to Remote DoS,High,,CVE-2026-21637,,resolved,2026-04-23,2026-02-15,Node.js,mbarbs,57,https://hackerone.com/reports/3556769
3589551,RBAC bypass on App log endpoints via `permissionRequired` typo — any authenticated user reads admin-only Enterprise App logs,Medium,Improper Access Control - Generic,CVE-2026-29197,,resolved,2026-04-23,2026-03-06,Rocket.Chat,arccode,38,https://hackerone.com/reports/3589551
3564655,Complete authentication bypass to admin permissions,Critical,SQL Injection,CVE-2026-29198,,resolved,2026-04-22,2026-02-20,Rocket.Chat,npc,86,https://hackerone.com/reports/3564655
3486747,"SVG filter primitives bypass remote image blocking, enabling email tracking without consent.",Medium,Privacy Violation,,,resolved,2026-04-20,2026-01-04,Nextcloud,nullcathedral,53,https://hackerone.com/reports/3486747
3590586,"position: fixed !important bypasses CSS sanitizer's fixed-position mitigation, enabling full-viewport phishing overlays.",Medium,Resource Injection,,,resolved,2026-04-20,2026-03-07,Nextcloud,nullcathedral,43,https://hackerone.com/reports/3590586
